firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
YONCA GIDA SANAYİ İŞLETMELERİ İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ;KOCATEPE MAH. YAĞ İSKELESİ CAD. MEGA CENTER SİTESİ C BLOKLAR C30  BLOK NO:21 İÇ KAPI NO:17;İSTANBUL;BAYRAMPAŞA;(236) 2332520;https://www.yonca.com.tr/;yonca.com.tr;İİB-YAŞ MEYVE
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-YAŞ MEYVE
ENPA  İTH.İHR.VE GIDA AMBALAJ SAN. TİC. LTD. ŞTİ.;KARADENİZLİLER MAH. KULLAR CAD. NO:361;KOCAELI;BAŞİSKELE;(262) 3493230;www.enpagida.com;enpagida.com;İİB-YAŞ MEYVE
DANIŞ GİYİM DIŞ TİC. VE SAN. LTD. ŞTİ. ;KEMALPAŞA MAH. FETHİ BEY CAD. NO:39 LALELİ İSTANBUL;İSTANBUL;FATİH;(212) 5185499;www.danisgroup.com;danisgroup.com;İİB-YAŞ MEYVE
AVS KÜRESEL GEMİ TEDARİĞİ VE YÖNETİMİ AŞ;SOĞANLIK YENİ MH PAMUKKALE SK NO:2;İSTANBUL;KARTAL;(216) 5910849;www.avsglobalsupply.com;avsglobalsupply.com;İİB-YAŞ MEYVE
ORTAÇLAR ELEKTRİK SAN. VE TİC. LTD. ŞTİ.;İBNİ SİNA CADESİ HADIMKÖY MAH N:9;İSTANBUL;ARNAVUTKÖY;(212) 8581900;www.ortaclar.com.tr;ortaclar.com.tr;İİB-YAŞ MEYVE
ŞÖLEN ÇİKOLATA GIDA SAN.VE TİC .A.Ş.;ORTAKÖY MAH. HARBİYE CAD. NO:33SİLİVRİ;İSTANBUL;SİLİVRİ;(212) 8675800;www.solen.com.tr;solen.com.tr;İİB-YAŞ MEYVE
KOÇBEY SU VE MEŞRUBAT PAZ.SAN.TİC.A.Ş;GÜLDİBİ MAH.GÜNDOĞDU CAD. NO:10;SAKARYA;SAPANCA;(264) 5828600;www.fuska.com.tr;fuska.com.tr;İİB-YAŞ MEYVE
SARBAY GIDA EĞİTİM GİYİM ÇELİK ORMAN ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;BARBAROS MAHALLESİ AL ZAMBAK SOKAK VARYAP MERIDIAN A BLOK GRAND TOWER APARTMANI NO:2/178;İSTANBUL;ATAŞEHİR;;www.sarbayihracat.com.tr;sarbayihracat.com.tr;İİB-YAŞ MEYVE
DOĞUŞ ÇAY VE GIDA MAD.ÜRT.PAZ. İTH.İHR.A.Ş.; RAMAZANOĞLU MAH.SANAYİ CAD. N.24;İSTANBUL;PENDİK;(452) 2339999;www.doguscay.com.tr;doguscay.com.tr;İİB-YAŞ MEYVE
